flight_id,origin_city_id,destination_city_id,departure_time,arrival_time,airline_id,status,ErrorText
1300906,925,217,10/13/2016 07:15:00,10/14/2016 02:05:00,2,New flights,
1300908,925,217,10/13/2016 01:00:00,10/13/2016 15:15:00,2,New flights,
1300909,925,217,10/13/2016 10:30:00,10/13/2016 22:05:00,2,New flights,
1300933,925,5330,10/13/2016 10:30:00,10/14/2016 07:25:00,2,New flights,
1300934,925,5330,10/13/2016 23:00:00,10/14/2016 17:45:00,2,New flights,
1300944,925,3398,10/13/2016 14:00:00,10/14/2016 07:00:00,2,New flights,
1300954,925,824,10/13/2016 01:50:00,10/13/2016 08:00:00,48,New flights,
1300955,925,824,10/13/2016 02:20:00,10/13/2016 08:00:00,48,New flights,
1300923,925,1587,10/13/2016 00:15:00,10/13/2016 14:00:00,2,New flights,
1300930,925,1587,10/13/2016 23:40:00,10/14/2016 08:05:00,2,New flights,
1300926,925,1587,10/13/2016 19:00:00,10/14/2016 06:45:00,2,New flights,
1300953,925,3398,10/13/2016 19:30:00,10/14/2016 09:45:00,29,New flights,
1300945,925,3398,10/13/2016 17:00:00,10/14/2016 08:50:00,2,New flights,
1300940,925,3398,10/13/2016 19:30:00,10/14/2016 09:45:00,3,New flights,
1300936,925,3398,10/13/2016 08:25:00,10/14/2016 07:00:00,10,New flights,
1300949,925,3398,10/13/2016 21:45:00,10/14/2016 20:45:00,2,New flights,
1300948,925,3398,10/13/2016 21:15:00,10/14/2016 19:05:00,2,New flights,
1300952,925,3398,10/13/2016 15:00:00,10/14/2016 08:50:00,2,New flights,
1300946,925,3398,10/13/2016 20:45:00,10/14/2016 09:00:00,2,New flights,
1300929,925,1587,10/13/2016 19:50:00,10/14/2016 06:45:00,2,New flights,
1300932,925,1587,10/13/2016 23:00:00,10/14/2016 07:30:00,7,New flights,
1300931,925,1587,10/13/2016 09:30:00,10/13/2016 17:10:00,7,New flights,
1300924,925,1587,10/13/2016 08:00:00,10/13/2016 19:05:00,2,New flights,
1300925,925,1587,10/13/2016 11:00:00,10/13/2016 21:00:00,2,New flights,
1300941,925,3398,10/13/2016 00:40:00,10/13/2016 22:10:00,2,New flights,
1300942,925,3398,10/13/2016 07:00:00,10/13/2016 22:10:00,2,New flights,
1300943,925,3398,10/13/2016 12:30:00,10/14/2016 06:15:00,2,New flights,
1300927,925,1587,10/13/2016 00:40:00,10/13/2016 14:00:00,2,New flights,
1300947,925,3398,10/13/2016 11:15:00,10/14/2016 07:15:00,2,New flights,
1300950,925,3398,10/13/2016 00:15:00,10/13/2016 22:10:00,2,New flights,
1300951,925,3398,10/13/2016 09:30:00,10/14/2016 07:15:00,2,New flights,
1300958,925,824,10/13/2016 09:00:00,10/13/2016 15:00:00,48,New flights,
1300959,925,824,10/13/2016 11:00:00,10/13/2016 17:00:00,48,New flights,
1300960,925,824,10/13/2016 13:00:00,10/13/2016 19:00:00,48,New flights,
1300971,925,824,10/13/2016 15:00:00,10/13/2016 19:30:00,10,New flights,
1300972,925,824,10/13/2016 19:00:00,10/13/2016 23:30:00,10,New flights,
1300973,925,824,10/13/2016 07:30:00,10/13/2016 12:00:00,3,New flights,
1342092,1046,3594,10/17/2016 01:50:00,10/17/2016 20:30:00,2,New flights,
1342096,1046,3594,10/17/2016 00:25:00,10/17/2016 18:45:00,2,New flights,
1342105,1124,1587,10/17/2016 11:25:00,10/17/2016 21:00:00,2,New flights,
1300963,925,824,10/13/2016 17:00:00,10/13/2016 21:45:00,48,New flights,
1300978,925,824,10/13/2016 09:15:00,10/13/2016 14:10:00,2,New flights,
1300964,925,824,10/13/2016 19:00:00,10/13/2016 23:55:00,48,New flights,
1341933,4206,1177,10/17/2016 08:15:00,10/17/2016 17:00:00,3,New flights,
1342060,1046,5086,10/17/2016 17:35:00,10/18/2016 09:35:00,2,New flights,
1300974,925,824,10/13/2016 15:00:00,10/13/2016 19:30:00,3,New flights,
1300962,925,824,10/13/2016 16:00:00,10/13/2016 22:00:00,48,New flights,
1300965,925,824,10/13/2016 19:30:00,10/13/2016 23:55:00,48,New flights,
1300982,925,824,10/13/2016 17:15:00,10/13/2016 22:00:00,2,New flights,
1315240,1046,1294,10/16/2016 08:30:00,10/16/2016 13:50:00,18,New flights,
